question,correct_answer,wrong_answer_1,wrong_answer_2, wrong_answer_3,explaination
"Wild Magic" - What was the first Immortal that Daine came across?,A stormwing,A dragon,A hurrok,A griffin,A Stormwing attacked her and Onua on the way to the palace.
"Wolf Speaker" - What did Numair turn his opponent into?,A tree,A branch,A bush,A flower,Somewhere -- because of the word he used -- a tree become a human.
"The Emporer Mage" - What was Numair's real name?,Arram,Arrim,Arrom,Arrum,Numair felt that when he moved to Tortall -- he was a new person. His name was Arram Draper.
"Sandry's Book" - Which epidemic did Sandry's parents die in?,Small pox,Cow pox,Blue pox,Chicken pox,There was a small pox epidemic in Hatar. Her parents died there. Her nurse was beaten to death by a mob.
"Tris's Book" - What is Tris's bird called?,Shriek,Squal,Squall,Scream,He is called that because he shrieks so much.
"Daja's Book" - Which Caravan Idaram are the Traders from?,Tenth,Twelfth,Third,Eighth,It was Tenth Caravan Idaram. Daja was invited to become part of this trader group at the end of the book.
"Briar's Book" - What day did Brair pick as his Birthday?,The day Rosethorn came into his life,The Four's birthday,The day Flick died,The day he came to Winding Circle,It was the dat after the Four's birthday.
"First Test" - Who are the boys who started at the same time as Kel?,Esmond -- Seaver -- Quinden and Merric,Merric -- Seaver -- Neal and Quinden,Faleron -- Merric -- Seaver and Esmond,Quinden -- Cleon -- Esmond and Seaver,They all become her friends -- apart from Quinden.
"Page" - Who was meant to be in charge when they came upon the Bandits?,Faleron,Cleon,Neal,Kel,Kel had to take over because Faleron was too afraid.
"Lady Knight" - What was Owen's horse called?,Happy,Peaceful,Jolly,Hopefast,Happy died at the end of the book.
"Magic Steps" - Where was Pasco dancing when he first met Sandry?,Docks,His house,Her house,At a ball,He was doing a dance to bring all the fish to him.
"Street Magic" - How many Stone Mages are there (not including Evvy) where Evvy lives?,1,2,3,4,StoneSlicer made the others leave. He was scared of Evvy's power.
Who is the main character in the *first* quarter by Tamora Pierce?,Alanna of Trebond,Giles of Aigidion,Keladry of Mindelan,Darren of Gem Mountain,Keladry of Mindelan was the heroine in the quartet "Protector of the Small". The other two choices are made up.
